ML,CHIP,ESM,HSPC,CHOL,PEG,AQUEOUS,TFR,FRR,SIZE,PDI
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,2.17,4.4,66.039,0.243
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,0.25,3.0,148.899,0.356
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,2.5,3.0,66.672,0.27
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,1.375,1.0,158.663,0.4
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,1.375,4.4,76.545,0.261
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,1.375,3.0,81.475,0.248
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,1.375,3.0,83.866,0.251
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,1.375,3.0,85.223,0.262
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,1.375,3.0,80.004,0.233
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,1.375,3.0,83.696,0.257
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,0.58,1.6,136.684,0.307
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,2.17,1.6,107.924,0.174
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,0.58,4.4,102.589,0.262
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,2.17,4.4,63.026,0.246
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,0.25,3.0,131.852,0.295
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,2.5,3.0,65.3,0.272
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,1.375,1.0,157.64,0.409
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,1.375,4.4,75.772,0.254
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,1.375,3.0,80.386,0.256
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,1.375,3.0,76.14,0.247
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,1.375,3.0,78.939,0.251
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,1.375,3.0,155.532,0.297
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,1.375,3.0,75.29,0.214
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,2.17,1.727,91.341,0.2
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,2.17,1.727,96.467,0.2
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,2.17,1.727,83.115,0.203
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,0.58,1.6,230.059,0.349
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,2.17,1.6,298.002,0.263
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,0.58,4.4,157.882,0.088
