ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,PDI,SIZE
24.779,0.0,10.121,0.0,0.58,4.4,MQ,0.088,157.882
24.779,0.0,10.121,0.0,1.375,1.0,MQ,0.252,240.863
24.779,0.0,10.121,0.0,1.375,1.0,MQ,0.26,236.083
24.779,0.0,10.121,0.0,1.375,1.0,MQ,0.322,232.108
24.779,0.0,10.121,0.0,1.375,3.0,MQ,0.061,161.035
24.779,0.0,10.121,0.0,1.375,3.0,MQ,0.062,139.883
24.779,0.0,10.121,0.0,1.375,3.0,MQ,0.064,141.538
24.779,0.0,10.121,0.0,1.375,3.0,MQ,0.065,139.657
24.779,0.0,10.121,0.0,1.375,3.0,MQ,0.08,139.586
24.779,0.0,10.121,0.0,1.375,3.0,MQ,0.081,146.755
24.779,0.0,10.121,0.0,1.375,3.0,MQ,0.082,160.969
24.779,0.0,10.121,0.0,1.375,3.0,MQ,0.085,158.593
24.779,0.0,10.121,0.0,1.375,3.0,MQ,0.087,158.912
24.779,0.0,10.121,0.0,1.375,3.0,MQ,0.091,164.343
24.779,0.0,10.121,0.0,1.375,3.0,MQ,0.095,160.342
24.779,0.0,10.121,0.0,1.375,3.0,MQ,0.103,161.298
24.779,0.0,10.121,0.0,1.375,3.0,MQ,0.111,171.769
24.779,0.0,10.121,0.0,1.375,3.0,MQ,0.119,169.717
24.779,0.0,10.121,0.0,1.375,3.0,MQ,0.121,162.206
24.779,0.0,10.121,0.0,1.375,5.0,MQ,0.044,130.988
24.779,0.0,10.121,0.0,1.375,5.0,MQ,0.058,125.924
24.779,0.0,10.121,0.0,1.375,5.0,MQ,0.07,115.891
24.779,0.0,10.121,0.0,2.17,1.6,MQ,0.244,229.416
24.779,0.0,10.121,0.0,2.17,1.6,MQ,0.263,298.002
24.779,0.0,10.121,0.0,2.17,1.6,MQ,0.274,303.927
24.779,0.0,10.121,0.0,2.17,4.4,MQ,0.027,125.978
24.779,0.0,10.121,0.0,2.17,4.4,MQ,0.046,117.314
24.779,0.0,10.121,0.0,2.17,4.4,MQ,0.065,125.303
24.779,0.0,10.121,0.0,2.5,3.0,MQ,0.05,137.968
24.779,0.0,10.121,0.0,2.5,3.0,MQ,0.054,155.385
24.779,0.0,10.121,0.0,2.5,3.0,MQ,0.059,158.28
24.779,0.0,10.121,0.0,2.5,5.0,MQ,0.05,109.23
24.779,0.0,10.121,0.0,2.5,5.0,MQ,0.055,107.303
24.779,0.0,10.121,0.0,2.5,5.0,MQ,0.056,114.922
