ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,SIZE,PDI
15.0,0.0,5.0,0.0,1.375,3.0,MQ,182.155,0.099
24.779,0.0,10.121,0.0,2.17,1.6,MQ,303.927,0.274
0.0,9.576,3.192,3.192,1.375,4.4,MQ,75.772,0.254
0.0,11.5644,1.3408000000000002,3.8548,2.04,23.0,MQ,94.499,0.355
24.779,0.0,10.121,0.0,0.25,3.0,MQ,183.962,0.16
0.0,9.576,3.192,3.192,1.375,3.0,MQ,81.475,0.248
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,69.696,0.243
0.0,9.576,3.192,3.192,2.17,4.4,MQ,67.343,0.242
15.0,0.0,5.0,0.0,0.25,3.0,MQ,189.471,0.213
15.0,0.0,5.0,0.0,2.5,3.0,MQ,147.238,0.042
0.0,9.576,3.192,3.192,1.375,3.0,MQ,78.939,0.251
24.779,0.0,10.121,0.0,0.58,1.6,MQ,189.764,0.195
0.0,8.547600000000001,5.363200000000001,2.8492,1.375,3.5002575415843395,MQ,71.77,0.202
0.0,9.576,3.192,3.192,1.375,3.0,MQ,76.14,0.247
0.0,9.576,3.192,3.192,1.375,3.0,MQ,85.223,0.262
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,76.921,0.273
0.0,9.576,3.192,3.192,0.58,4.4,MQ,95.927,0.219
24.779,0.0,10.121,0.0,0.25,3.0,MQ,183.962,0.16
0.0,7.542000000000001,6.704000000000001,2.514,1.375,1.0,MQ,90.63,0.14
0.0,9.576,3.192,3.192,1.375,4.4,MQ,76.973,0.241
0.0,15.77363814811808,7.695440626753877,12.79764984945341,2.5,8.0,PBS,98.3,0.242
0.0,9.576,3.192,3.192,0.58,4.4,MQ,95.927,0.219
0.0,15.77363814811808,7.695440626753877,12.79764984945341,2.5,8.0,PBS,95.1,0.257
0.0,9.576,3.192,3.192,1.375,3.0,MQ,76.14,0.247
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,1.0,MQ,147.172,0.392
24.779,0.0,10.121,0.0,1.375,3.0,MQ,162.206,0.121
0.0,8.547600000000001,5.363200000000001,2.8492,0.71,2.0,MQ,96.056,0.164
0.0,9.576,3.192,3.192,1.375,1.0,MQ,157.64,0.409
0.0,9.576,3.192,3.192,2.17,1.727,MQ,83.115,0.203
0.0,9.576,3.192,3.192,1.375,1.0,MQ,157.64,0.409
0.0,9.576,3.192,3.192,1.375,3.0,MQ,77.339,0.229
24.779,0.0,10.121,0.0,2.17,4.4,MQ,125.978,0.027
12.026982212493198,0.0,7.973017787506802,0.0,0.7060709978109694,4.189207115002722,MQ,106.201,0.066
24.779,0.0,10.121,0.0,0.58,1.6,MQ,189.764,0.195
24.779,0.0,10.121,0.0,1.375,3.0,MQ,158.593,0.085
0.0,2.612616887691889,1.0310812245632734,1.918327084973226,2.5,2.5,PBS,64.4,0.166
0.0,9.576,3.192,3.192,2.17,1.6,MQ,87.316,0.168
15.0,0.0,5.0,0.0,1.375,3.0,MQ,162.168,0.086
0.0,20.91532130137204,5.15895461011433,12.8,2.5,4.0,PBS,126.0,0.343
15.0,0.0,5.0,0.0,1.375,3.0,MQ,182.155,0.099
15.0,0.0,5.0,0.0,1.375,3.0,MQ,179.011,0.141
17.973017787506805,0.0,2.0269822124931967,0.0,0.7060709978109694,4.189207115002722,MQ,622.999,0.643
0.0,9.576,3.192,3.192,1.375,1.0,MQ,158.663,0.4
15.0,0.0,5.0,0.0,1.375,3.0,MQ,168.994,0.087
0.0,9.576,3.192,3.192,0.25,3.0,MQ,148.899,0.356
0.0,9.576,3.192,3.192,0.58,1.6,MQ,136.684,0.307
0.0,9.576,3.192,3.192,1.375,3.0,MQ,83.866,0.251
0.0,8.547600000000001,5.363200000000001,2.8492,0.71,2.0,MQ,96.056,0.164
15.0,0.0,5.0,0.0,1.375,5.0,MQ,130.699,0.037
